sample	unit	lib	platform	fq1	fq2
CYSE0941	AHJ3LGDSX7.2	UDP0169	ILLUMINA	/proj/polyommatini2/nobackup/grassland_indicator/data/fastq_raw/P29363_273_S167_L002_R1_001.fastq.gz	/proj/polyommatini2/nobackup/grassland_indicator/data/fastq_raw/P29363_273_S167_L002_R2_001.fastq.gz
CYSE0941	AHJ3LGDSX7.1	UDP0169	ILLUMINA	/proj/polyommatini2/nobackup/grassland_indicator/data/fastq_raw/P29363_273_S167_L001_R1_001.fastq.gz	/proj/polyommatini2/nobackup/grassland_indicator/data/fastq_raw/P29363_273_S167_L001_R2_001.fastq.gz
CYSE0942	AHJ3LGDSX7.2	UDP0170	ILLUMINA	/proj/polyommatini2/nobackup/grassland_indicator/data/fastq_raw/P29363_274_S168_L002_R1_001.fastq.gz	/proj/polyommatini2/nobackup/grassland_indicator/data/fastq_raw/P29363_274_S168_L002_R2_001.fastq.gz
CYSE0942	AHJ3LGDSX7.1	UDP0170	ILLUMINA	/proj/polyommatini2/nobackup/grassland_indicator/data/fastq_raw/P29363_274_S168_L001_R1_001.fastq.gz	/proj/polyommatini2/nobackup/grassland_indicator/data/fastq_raw/P29363_274_S168_L001_R2_001.fastq.gz
MZLU107422	AHW5NGDSX2.3	UDP0014	ILLUMINA	../data/fastq_raw/P23564_114_S23_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_114_S23_L003_R2_001.fastq.gz
MZLU107426	AHW5NGDSX2.3	UDP0018	ILLUMINA	../data/fastq_raw/P23564_118_S27_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_118_S27_L003_R2_001.fastq.gz
MZLU107428	AHW5NGDSX2.3	UDP0020	ILLUMINA	../data/fastq_raw/P23564_120_S29_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_120_S29_L003_R2_001.fastq.gz
MZLU107434	AHW5NGDSX2.3	UDP0025	ILLUMINA	../data/fastq_raw/P23564_125_S34_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_125_S34_L003_R2_001.fastq.gz
MZLU107435	AHW5NGDSX2.3	UDP0026	ILLUMINA	../data/fastq_raw/P23564_126_S35_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_126_S35_L003_R2_001.fastq.gz
MZLU107436	AHW5NGDSX2.3	UDP0027	ILLUMINA	../data/fastq_raw/P23564_127_S36_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_127_S36_L003_R2_001.fastq.gz
MZLU107438	AHW5NGDSX2.3	UDP0029	ILLUMINA	../data/fastq_raw/P23564_129_S38_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_129_S38_L003_R2_001.fastq.gz
