sample	unit	lib	platform	fq1	fq2
MZLULEP3029-out	AH5L5TDSX2.2	015092	ILLUMINA	../data/fastq_raw/P21013_1007_S14_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1007_S14_L002_R2_001.fastq.gz
MZLULEP3668-out	AH5L5TDSX2.2	018106	ILLUMINA	../data/fastq_raw/P21013_1008_S15_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1008_S15_L002_R2_001.fastq.gz
MZLULEP3086-out	AH5L5TDSX2.2	019107	ILLUMINA	../data/fastq_raw/P21013_1009_S16_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1009_S16_L002_R2_001.fastq.gz
MZLULEP4316-out	AH5L5TDSX2.2	021130	ILLUMINA	../data/fastq_raw/P21013_1010_S17_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1010_S17_L002_R2_001.fastq.gz
MZLULEP3656-out	AH5L5TDSX2.2	028116	ILLUMINA	../data/fastq_raw/P21013_1012_S19_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1012_S19_L002_R2_001.fastq.gz
MZLULEP1824-out	AH5L5TDSX2.2	032120	ILLUMINA	../data/fastq_raw/P21013_1013_S20_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1013_S20_L002_R2_001.fastq.gz
MZLULEP1709-out	AH5L5TDSX2.2	036137	ILLUMINA	../data/fastq_raw/P21013_1014_S21_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1014_S21_L002_R2_001.fastq.gz
MZLULEP3256-out	AH5L5TDSX2.2	043143	ILLUMINA	../data/fastq_raw/P21013_1015_S22_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1015_S22_L002_R2_001.fastq.gz
MZLULEP1710-out	AH5L5TDSX2.2	052142	ILLUMINA	../data/fastq_raw/P21013_1016_S23_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1016_S23_L002_R2_001.fastq.gz
MZLULEP4555-out	AH5L5TDSX2.2	058135	ILLUMINA	../data/fastq_raw/P21013_1017_S24_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1017_S24_L002_R2_001.fastq.gz
MZLULEP3026-out	AH5L5TDSX2.2	066149	ILLUMINA	../data/fastq_raw/P21013_1018_S25_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1018_S25_L002_R2_001.fastq.gz
MZLULEP1911-out	AH5L5TDSX2.2	070144	ILLUMINA	../data/fastq_raw/P21013_1019_S26_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1019_S26_L002_R2_001.fastq.gz
MZLULEP3266-out	AH5L5TDSX2.2	093148	ILLUMINA	../data/fastq_raw/P21013_1020_S27_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1020_S27_L002_R2_001.fastq.gz
MZLULEP3149-out	AH5L5TDSX2.2	101132	ILLUMINA	../data/fastq_raw/P21013_1021_S28_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1021_S28_L002_R2_001.fastq.gz
MZLULEP1903-out	AH5L5TDSX2.2	105145	ILLUMINA	../data/fastq_raw/P21013_1023_S30_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1023_S30_L002_R2_001.fastq.gz
MZLULEP1661-out	AH5L5TDSX2.2	128146	ILLUMINA	../data/fastq_raw/P21013_1024_S31_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1024_S31_L002_R2_001.fastq.gz
MZLULEP3133-out	AH5L5TDSX2.2	168133	ILLUMINA	../data/fastq_raw/P21013_1025_S32_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1025_S32_L002_R2_001.fastq.gz
MZLULEP1748-out	AH5L5TDSX2.2	172131	ILLUMINA	../data/fastq_raw/P21013_1026_S33_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1026_S33_L002_R2_001.fastq.gz
MZLULEP1730-out	AH5L5TDSX2.2	196124	ILLUMINA	../data/fastq_raw/P21013_1027_S34_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1027_S34_L002_R2_001.fastq.gz
MZLULEP1724-out	AH5L5TDSX2.2	199127	ILLUMINA	../data/fastq_raw/P21013_1028_S35_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1028_S35_L002_R2_001.fastq.gz
MZLULEP3313-out	AH5L5TDSX2.2	200129	ILLUMINA	../data/fastq_raw/P21013_1029_S36_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1029_S36_L002_R2_001.fastq.gz
MZLULEP3259-out	AH5L5TDSX2.2	013134	ILLUMINA	../data/fastq_raw/P21013_1030_S37_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1030_S37_L002_R2_001.fastq.gz
MZLULEP1868-out	AH5L5TDSX2.2	007095	ILLUMINA	../data/fastq_raw/P21013_1031_S38_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1031_S38_L002_R2_001.fastq.gz
