sample	unit	lib	platform	fq1	fq2	bam
MZLULEP3313	AH5L5TDSX2.2	200129	ILLUMINA	../data/fastq_raw/P21013_1029_S36_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1029_S36_L002_R2_001.fastq.gz	results/mapping/bams/MZLULEP3313.ilPolIcar1.1.vg.merged.rmdup.bam
MZLULEP3259	AH5L5TDSX2.2	013134	ILLUMINA	../data/fastq_raw/P21013_1030_S37_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1030_S37_L002_R2_001.fastq.gz	results/mapping/bams/MZLULEP3259.ilPolIcar1.1.vg.merged.rmdup.bam
MZLULEP1868	AH5L5TDSX2.2	007095	ILLUMINA	../data/fastq_raw/P21013_1031_S38_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1031_S38_L002_R2_001.fastq.gz	results/mapping/bams/MZLULEP1868.ilPolIcar1.1.vg.merged.rmdup.bam
MZLU107426	AHW5NGDSX2.3	UDP0018	ILLUMINA	../data/fastq_raw/P23564_118_S27_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_118_S27_L003_R2_001.fastq.gz	results/mapping/bams/MZLU107426.ilPleArgu1.3.vg.paired.rmdup.clip.bam
MZLU107434	AHW5NGDSX2.3	UDP0025	ILLUMINA	../data/fastq_raw/P23564_125_S34_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_125_S34_L003_R2_001.fastq.gz	results/mapping/bams/MZLU107434.ilPleArgu1.3.vg.paired.rmdup.clip.bam
MZLU107435	AHW5NGDSX2.3	UDP0026	ILLUMINA	../data/fastq_raw/P23564_126_S35_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_126_S35_L003_R2_001.fastq.gz	results/mapping/bams/MZLU107435.ilPleArgu1.3.vg.paired.rmdup.clip.bam
MZLU107436	AHW5NGDSX2.3	UDP0027	ILLUMINA	../data/fastq_raw/P23564_127_S36_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_127_S36_L003_R2_001.fastq.gz	results/mapping/bams/MZLU107436.ilPleArgu1.3.vg.paired.rmdup.clip.bam
MZLU107438	AHW5NGDSX2.3	UDP0029	ILLUMINA	../data/fastq_raw/P23564_129_S38_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_129_S38_L003_R2_001.fastq.gz	results/mapping/bams/MZLU107438.ilPleArgu1.3.vg.paired.rmdup.clip.bam
MZLU107439	AHW5NGDSX2.3	UDP0030	ILLUMINA	../data/fastq_raw/P23564_130_S39_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_130_S39_L003_R2_001.fastq.gz	results/mapping/bams/MZLU107439.ilPleArgu1.3.vg.paired.rmdup.clip.bam
MZLU107441	AHW5NGDSX2.3	UDP0032	ILLUMINA	../data/fastq_raw/P23564_132_S41_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_132_S41_L003_R2_001.fastq.gz	results/mapping/bams/MZLU107441.ilPleArgu1.3.vg.paired.rmdup.clip.bam
MZLU107443	AHW5NGDSX2.3	UDP0034	ILLUMINA	../data/fastq_raw/P23564_134_S43_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_134_S43_L003_R2_001.fastq.gz	results/mapping/bams/MZLU107443.ilPleArgu1.3.vg.paired.rmdup.clip.bam
MZLU107445	AHW5NGDSX2.3	UDP0036	ILLUMINA	../data/fastq_raw/P23564_136_S45_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_136_S45_L003_R2_001.fastq.gz	results/mapping/bams/MZLU107445.ilPleArgu1.3.vg.paired.rmdup.clip.bam
